trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.9588697805724845}",30,0,-38.01991072142555,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.9579113900670306}",20,0,-79.44312831249401,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.9569539574730467}",20,0,-103.7855501715978,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.9559974818331}",20,0,-214.18008161774492,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
46,False,"{'a': 0.9, 'e': 0.9550419621907146}",20,0,-14.506553474400363,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.9540873975903711}",20,0,-105.31612829501418,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.9, 'e': 0.9531337870775046}",20,0,-41.45292062326924,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.9, 'e': 0.9521811296985049}",20,0,-144.68501371195012,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.9512294245007139}",20,0,-149.26043101170566,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.9, 'e': 0.950278670532427}",30,0,-115.13649026702328,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.9493288668428896}",20,0,-130.5631194238627,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.9, 'e': 0.9483800124822981}",20,0,-115.54854090640258,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.9, 'e': 0.9474321065017982}",20,0,-70.54265940105824,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.9, 'e': 0.9464851479534838}",25,16,-7.6233872882995275,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.9455391358903963}",20,0,-46.6440377063711,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.9445940693665232}",30,0,-226.75270545898297,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
58,False,"{'a': 0.9, 'e': 0.9436499474367984}",30,0,-107.81579766379733,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 0}",0
59,False,"{'a': 0.9, 'e': 0.9427067691570998}",20,0,-128.87759166716046,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.9, 'e': 0.9417645335842487}",30,0,-239.1612666011728,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 5}",0
61,False,"{'a': 0.9, 'e': 0.9408232397760098}",25,0,-77.96218524174073,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.9, 'e': 0.9398828867910889}",20,0,-84.6866757293887,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
63,False,"{'a': 0.9, 'e': 0.9389434736891333}",30,0,-175.34911849258012,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
64,False,"{'a': 0.9, 'e': 0.9380049995307296}",30,0,-180.5492892063974,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
65,False,"{'a': 0.9, 'e': 0.9370674633774034}",20,0,-106.17748775670015,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.9, 'e': 0.9361308642916188}",30,0,-85.24677114187364,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.9351952013367765}",20,0,-107.23258422981083,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.9, 'e': 0.9342604735772135}",25,0,-184.4448137777856,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
69,False,"{'a': 0.9, 'e': 0.933326680078202}",25,0,-87.24307393274022,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
